instruction,input,output,source_document,source_url,chunk_number,document_index,generated_by
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",avoid pension scams,https://www.fca.org.uk/consumers/pension-scams,1,1,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",avoid pension scams,https://www.fca.org.uk/consumers/pension-scams,1,1,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",avoid pension scams,https://www.fca.org.uk/consumers/pension-scams,1,1,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",avoid pension scams,https://www.fca.org.uk/consumers/pension-scams,1,1,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",report a scam or unauthorised firm,https://www.fca.org.uk/consumers/report-scam-unauthorised-firm,1,2,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,report a scam or unauthorised firm,https://www.fca.org.uk/consumers/report-scam-unauthorised-firm,1,2,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",report a scam or unauthorised firm,https://www.fca.org.uk/consumers/report-scam-unauthorised-firm,1,2,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",report a scam or unauthorised firm,https://www.fca.org.uk/consumers/report-scam-unauthorised-firm,1,2,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",report a scam or unauthorised firm,https://www.fca.org.uk/consumers/report-scam-unauthorised-firm,1,2,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",report a scam or unauthorised firm,https://www.fca.org.uk/consumers/report-scam-unauthorised-firm,1,2,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",report a scam or unauthorised firm,https://www.fca.org.uk/consumers/report-scam-unauthorised-firm,1,2,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",Loan fee fraud: spot the warning signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,3,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,Loan fee fraud: spot the warning signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,3,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",Loan fee fraud: spot the warning signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,3,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",Loan fee fraud: spot the warning signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,3,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",Loan fee fraud: spot the warning signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,3,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",Loan fee fraud: spot the warning signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,3,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",Loan fee fraud: spot the warning signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,3,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",Download our campaign resources and help others be ScamSmart,https://www.fca.org.uk/consumers/campaign-resources,1,4,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,Download our campaign resources and help others be ScamSmart,https://www.fca.org.uk/consumers/campaign-resources,1,4,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",Download our campaign resources and help others be ScamSmart,https://www.fca.org.uk/consumers/campaign-resources,1,4,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",Download our campaign resources and help others be ScamSmart,https://www.fca.org.uk/consumers/campaign-resources,1,4,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",Download our campaign resources and help others be ScamSmart,https://www.fca.org.uk/consumers/campaign-resources,1,4,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",Download our campaign resources and help others be ScamSmart,https://www.fca.org.uk/consumers/campaign-resources,1,4,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",Download our campaign resources and help others be ScamSmart,https://www.fca.org.uk/consumers/campaign-resources,1,4,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",How they work,https://www.fca.org.uk/consumers/pension-scams,1,5,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,How they work,https://www.fca.org.uk/consumers/pension-scams,1,5,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",How they work,https://www.fca.org.uk/consumers/pension-scams,1,5,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",How they work,https://www.fca.org.uk/consumers/pension-scams,1,5,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",How they work,https://www.fca.org.uk/consumers/pension-scams,1,5,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",How they work,https://www.fca.org.uk/consumers/pension-scams,1,5,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",How they work,https://www.fca.org.uk/consumers/pension-scams,1,5,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",Learn more,https://www.fca.org.uk/consumers/screen-sharing-scams,1,6,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,Learn more,https://www.fca.org.uk/consumers/screen-sharing-scams,1,6,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",Learn more,https://www.fca.org.uk/consumers/screen-sharing-scams,1,6,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",Learn more,https://www.fca.org.uk/consumers/screen-sharing-scams,1,6,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",Learn more,https://www.fca.org.uk/consumers/screen-sharing-scams,1,6,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",Learn more,https://www.fca.org.uk/consumers/screen-sharing-scams,1,6,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",Learn more,https://www.fca.org.uk/consumers/screen-sharing-scams,1,6,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",Spot the signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,7,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,Spot the signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,7,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",Spot the signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,7,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",Spot the signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,7,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",Spot the signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,7,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",Spot the signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,7,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",Spot the signs,https://www.fca.org.uk/consumers/loan-fee-fraud,1,7,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",ScamSmart - Avoid investment and pension scams | FCA,https://www.fca.org.uk/scamsmart,1,8,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,ScamSmart - Avoid investment and pension scams | FCA,https://www.fca.org.uk/scamsmart,1,8,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",ScamSmart - Avoid investment and pension scams | FCA,https://www.fca.org.uk/scamsmart,1,8,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",ScamSmart - Avoid investment and pension scams | FCA,https://www.fca.org.uk/scamsmart,1,8,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",ScamSmart - Avoid investment and pension scams | FCA,https://www.fca.org.uk/scamsmart,1,8,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",ScamSmart - Avoid investment and pension scams | FCA,https://www.fca.org.uk/scamsmart,1,8,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",ScamSmart - Avoid investment and pension scams | FCA,https://www.fca.org.uk/scamsmart,1,8,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/avoid-scams-unauthorised-firms,1,9,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/avoid-scams-unauthorised-firms,1,9,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/avoid-scams-unauthorised-firms,1,9,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/avoid-scams-unauthorised-firms,1,9,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/avoid-scams-unauthorised-firms,1,9,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/avoid-scams-unauthorised-firms,1,9,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/avoid-scams-unauthorised-firms,1,9,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/protect-yourself-scams,1,10,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/protect-yourself-scams,1,10,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/protect-yourself-scams,1,10,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/protect-yourself-scams,1,10,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/protect-yourself-scams,1,10,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/protect-yourself-scams,1,10,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",Protect yourself from scams | FCA,https://www.fca.org.uk/consumers/protect-yourself-scams,1,10,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",Consumers | FCA,https://www.fca.org.uk/consumers,1,11,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,Consumers | FCA,https://www.fca.org.uk/consumers,1,11,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",Consumers | FCA,https://www.fca.org.uk/consumers,1,11,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",Consumers | FCA,https://www.fca.org.uk/consumers,1,11,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",Consumers | FCA,https://www.fca.org.uk/consumers,1,11,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",Consumers | FCA,https://www.fca.org.uk/consumers,1,11,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",Consumers | FCA,https://www.fca.org.uk/consumers,1,11,gemini
"I think I'm being scammed right now, what should I do?",,"If you think someone is trying to scam you, it's important to act quickly. Don't send any money or give out any personal details. If you're in immediate danger, call 999. You can report the scam to Citizens Advice and Action Fraud. The Citizens Advice consumer helpline is 0808 223 1133, and you can report to Action Fraud online or by calling 0300 123 2040.",You can find out more or opt-out from some cookies.,https://www.citizensadvice.org.uk/about-us/citizens-advice-privacy-policy/how-we-use-cookies/,1,0,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,"Scammers often use pressure tactics to rush you into making a decision. Legitimate businesses will give you time to think. Don't be rushed into anything. If you're being pressured to pay, it's likely a scam. Stop all contact with the person and report them to Citizens Advice and Action Fraud.",You can find out more or opt-out from some cookies.,https://www.citizensadvice.org.uk/about-us/citizens-advice-privacy-policy/how-we-use-cookies/,1,0,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, there are steps you can take to try and get your money back. The method depends on how you paid. If you paid by credit or debit card, you might be able to use the chargeback scheme. If you paid by bank transfer, contact your bank immediately. You should also report the scam to Citizens Advice and Action Fraud.",You can find out more or opt-out from some cookies.,https://www.citizensadvice.org.uk/about-us/citizens-advice-privacy-policy/how-we-use-cookies/,1,0,gemini
